SAP,month_year,Consumo Total
A18110009021,2022-08-01,1.0
A18110009021,2022-10-01,1.0
A18110009021,2023-02-01,1.0
A18110009021,2023-03-01,2.0
A18110009021,2024-02-01,1.0
A18110009021,2024-04-01,2.0
A18110009021,2024-05-01,1.0
A18110009021,2024-06-01,1.0
A18110009021,2024-08-01,2.0
A18110009021,2024-10-01,2.0
A18110009021,2024-12-01,1.0
A18110009021,2025-01-01,2.0
A18110009021,2025-03-01,1.0
A18110009021,2025-04-01,1.0
A18110009021,2025-09-01,2.0
A18110009021,2025-10-01,1.0
A18110009031,2022-10-01,1.0
A18110009031,2023-03-01,1.0
A18110009031,2023-05-01,2.0
A18110009031,2024-01-01,1.0
A18110009031,2024-08-01,1.0
A18110009031,2024-09-01,1.0
A18110009031,2024-10-01,1.0
A18110009031,2024-12-01,4.0
A18110009031,2025-01-01,1.0
A18110009031,2025-04-01,4.0
A18110009031,2025-08-01,5.0
A18110009031,2025-10-01,2.0
A18110009037,2022-02-01,10.0
A18110009037,2022-03-01,5.0
A18110009037,2022-05-01,1.0
A18110009037,2022-08-01,5.0
A18110009037,2022-09-01,2.0
A18110009037,2022-10-01,2.0
A18110009037,2023-02-01,18.0
A18110009037,2023-03-01,1.0
A18110009037,2023-04-01,2.0
A18110009037,2023-06-01,1.0
A18110009037,2024-01-01,3.0
A18110009037,2024-02-01,19.0
A18110009037,2024-07-01,13.0
A18110009037,2024-08-01,4.0
A18110009037,2024-09-01,2.0
A18110009037,2024-10-01,6.0
A18110009037,2024-12-01,2.0
A18110009037,2025-01-01,5.0
A18110009037,2025-02-01,0.0
A18110009037,2025-03-01,2.0
A18110009037,2025-05-01,5.0
A18110009037,2025-09-01,1.0
A18110009037,2025-10-01,2.0
A18110010465,2022-05-01,3.0
A18110010465,2022-08-01,10.0
A18110010465,2022-09-01,20.0
A18110010465,2022-10-01,4.0
A18110010465,2022-12-01,5.0
A18110010465,2023-02-01,4.0
A18110010465,2023-03-01,2.0
A18110010465,2023-05-01,4.0
A18110010465,2023-07-01,4.0
A18110010465,2023-08-01,1.0
A18110010465,2024-08-01,4.0
A18110010465,2024-09-01,2.0
A18110010465,2025-02-01,8.0
A18110010465,2025-03-01,7.0
A18110010465,2025-06-01,2.0
A18130005688,2022-06-01,5.0
A18130005688,2022-09-01,3.0
A18130005688,2022-10-01,1.0
A18130005688,2023-02-01,1.0
A18130005688,2023-07-01,2.0
A18130005688,2023-08-01,1.0
A18130005688,2023-09-01,1.0
A18130005688,2024-03-01,1.0
A18130005688,2024-05-01,1.0
A18130005688,2024-08-01,1.0
A18130005688,2024-09-01,2.0
A18130005688,2024-11-01,2.0
A18130005688,2025-02-01,1.0
A18130005688,2025-07-01,1.0
A18130006673,2022-07-01,6.0
A18130006673,2022-08-01,6.0
A18130006673,2022-12-01,1.0
A18130006673,2023-01-01,12.0
A18130006673,2023-10-01,0.0
A18130006673,2023-11-01,5.0
A18130006673,2024-04-01,2.0
A18130006673,2024-08-01,4.0
A18130006673,2024-09-01,2.0
A18130006673,2025-01-01,16.0
A18130006673,2025-02-01,14.0
A18130006673,2025-04-01,8.0
A18130006673,2025-06-01,24.0
A18130006673,2025-09-01,1.0
A18130006673,2025-10-01,1.0
A18130006711,2022-02-01,6.0
A18130006711,2022-05-01,4.0
A18130006711,2022-06-01,19.0
A18130006711,2022-07-01,9.0
A18130006711,2022-08-01,3.0
A18130006711,2022-10-01,15.0
A18130006711,2023-01-01,7.0
A18130006711,2023-02-01,2.0
A18130006711,2023-03-01,4.0
A18130006711,2023-05-01,2.0
A18130006711,2023-09-01,4.0
A18130006711,2023-11-01,1.0
A18130006711,2024-01-01,6.0
A18130006711,2024-04-01,1.0
A18130006711,2024-06-01,7.0
A18130006711,2024-07-01,10.0
A18130006711,2024-11-01,3.0
A18130006711,2025-03-01,5.0
A18130006711,2025-04-01,0.0
A18130006711,2025-05-01,12.0
A18130006711,2025-06-01,15.0
A18130006711,2025-10-01,1.0
A18130006764,2022-01-01,4.0
A18130006764,2022-10-01,2.0
A18130006764,2023-03-01,2.0
A18130006764,2024-01-01,3.0
A18130006764,2024-03-01,0.0
A18130006764,2024-05-01,6.0
A18130006764,2024-06-01,5.0
A18130006764,2024-08-01,2.0
A18130006764,2024-12-01,1.0
A18130006764,2025-01-01,5.0
A18130006764,2025-06-01,2.0
A18130006764,2025-07-01,2.0
A18130006764,2025-10-01,1.0
A18130007380,2022-01-01,7.0
A18130007380,2022-02-01,16.0
A18130007380,2022-03-01,3.0
A18130007380,2022-08-01,1.0
A18130007380,2022-09-01,1.0
A18130007380,2023-01-01,5.0
A18130007380,2023-03-01,2.0
A18130007380,2024-01-01,15.0
A18130007380,2024-05-01,16.0
A18130007380,2024-06-01,2.0
A18130007380,2024-08-01,3.0
A18130007380,2024-12-01,1.0
A18130007380,2025-03-01,6.0
A18130007380,2025-04-01,1.0
A18130007380,2025-05-01,3.0
A18130007380,2025-06-01,1.0
A18130007380,2025-09-01,1.0
A18130007380,2025-10-01,1.0
A18130007393,2022-05-01,0.0
A18130007393,2022-06-01,1.0
A18130007393,2022-07-01,2.0
A18130007393,2022-08-01,5.0
A18130007393,2022-12-01,2.0
A18130007393,2023-01-01,1.0
A18130007393,2023-02-01,4.0
A18130007393,2023-03-01,5.0
A18130007393,2023-05-01,2.0
A18130007393,2023-09-01,1.0
A18130007393,2024-07-01,1.0
A18130007393,2024-09-01,3.0
A18130007393,2024-10-01,3.0
A18130007393,2025-02-01,1.0
A18130007393,2025-03-01,1.0
A18130007393,2025-09-01,2.0
A18130007396,2022-02-01,2.0
A18130007396,2022-05-01,0.0
A18130007396,2022-08-01,1.0
A18130007396,2023-03-01,2.0
A18130007396,2024-01-01,1.0
A18130007396,2024-02-01,1.0
A18130007396,2024-07-01,1.0
A18130007396,2024-08-01,1.0
A18130007396,2025-02-01,1.0
A18130007396,2025-03-01,3.0
A18130007396,2025-04-01,3.0
A18130007396,2025-05-01,2.0
A18130007396,2025-10-01,1.0
A18130007399,2022-01-01,1.0
A18130007399,2022-02-01,4.0
A18130007399,2022-03-01,2.0
A18130007399,2022-05-01,0.0
A18130007399,2022-06-01,2.0
A18130007399,2022-08-01,2.0
A18130007399,2022-12-01,1.0
A18130007399,2023-01-01,3.0
A18130007399,2023-03-01,3.0
A18130007399,2024-01-01,2.0
A18130007399,2024-08-01,4.0
A18130007399,2024-09-01,2.0
A18130007399,2024-10-01,1.0
A18130007399,2024-11-01,3.0
A18130007399,2025-03-01,4.0
A18130007399,2025-04-01,1.0
A18130007399,2025-07-01,1.0
A18130007768,2024-05-01,8.0
A18130007768,2024-06-01,14.0
A18130007768,2024-11-01,1.0
A18130007768,2025-01-01,4.0
A18130007768,2025-06-01,1.0
A18130007768,2025-08-01,11.0
A18130007768,2025-09-01,7.0
A18130007768,2025-10-01,2.0
A18130007812,2022-08-01,15.0
A18130007812,2022-12-01,3.0
A18130007812,2023-01-01,0.0
A18130007812,2023-02-01,2.0
A18130007812,2023-03-01,1.0
A18130007812,2023-05-01,0.0
A18130007812,2023-06-01,0.0
A18130007812,2024-11-01,4.0
A18130007812,2024-12-01,1.0
A18130007812,2025-02-01,1.0
A18130007812,2025-03-01,4.0
A18130007812,2025-04-01,2.0
A18130007812,2025-06-01,1.0
A18130007812,2025-09-01,3.0
A18130007812,2025-10-01,1.0
A18130007814,2022-06-01,0.0
A18130007814,2022-07-01,2.0
A18130007814,2022-10-01,1.0
A18130007814,2022-12-01,2.0
A18130007814,2023-02-01,6.0
A18130007814,2023-03-01,2.0
A18130007814,2023-04-01,3.0
A18130007814,2023-06-01,1.0
A18130007814,2023-07-01,4.0
A18130007814,2024-04-01,1.0
A18130007814,2024-10-01,1.0
A18130007814,2025-01-01,1.0
A18130007814,2025-02-01,0.0
A18130007814,2025-03-01,2.0
A18130007814,2025-04-01,3.0
A18130007814,2025-06-01,4.0
A18130007814,2025-09-01,3.0
A22020000062,2022-03-01,20.0
A22020000062,2022-09-01,38.0
A22020000062,2023-03-01,20.0
A22020000062,2024-01-01,2.0
A22020000062,2024-09-01,2.0
A22020000062,2024-11-01,4.0
A22020000062,2025-01-01,2.0
A22020000062,2025-02-01,24.0
A22020000062,2025-05-01,10.0
A22020000062,2025-06-01,4.0
A22020000062,2025-07-01,2.0
A22020000062,2025-08-01,16.0
